N,T,n_vars_qubo,rho_target,rho_eff_mean,cd_mean,t_mean_s,t_std_s,gap_mean_pct,gap_std_pct,n_optimal,n_seeds,nodes_mean,nodes_std,is_n_star,is_n_dstar,is_n_ddstar
8,50,736,0.8,0.8,1.0,0.034,0.011,0.0,0.0,5,5,1.0,0.0,False,False,False
12,75,1704,0.8,0.8,0.6061,0.143,0.034,0.0,0.0,5,5,1.0,0.0,False,False,False
16,100,3072,0.8,0.8,0.54,0.17,0.058,0.0,0.0,4,5,1.0,0.0,False,True,False
20,125,4840,0.8,0.8,0.6526,0.302,0.052,0.0,0.0,5,5,1.0,0.0,False,False,False
30,190,11156,0.8,0.8,0.0041,0.395,0.178,,,0,5,0.8,0.4,False,False,True
40,250,19680,0.8,0.8,0.0187,0.769,0.355,,,0,5,0.8,0.4,False,False,False
60,375,44520,0.8,0.8,0.2109,1.915,1.124,0.0,0.0,2,5,1.0,0.0,False,False,False
80,500,79360,0.8,0.8,0.1004,1.615,0.537,0.0023,,1,5,1.0,0.0,False,False,False
100,625,124200,0.8,0.8,0.1056,2.769,0.958,0.0033,,1,5,1.0,0.0,False,False,False
120,750,179040,0.8,0.8,0.1178,4.834,1.711,0.0,,1,5,1.0,0.0,False,False,False
150,940,280796,0.8,0.8,0.1047,7.273,3.026,0.0039,,1,5,1.0,0.0,False,False,False
175,1095,381848,0.8,0.8,0.1183,9.613,3.858,0.0094,,1,5,1.0,0.0,False,False,False
200,1250,498400,0.8,0.8,0.0989,10.461,3.725,0.0003,,1,5,1.0,0.0,True,False,False
